gene,correlation,pvalue,abs_corr
AL590560.1,0.007968010657264811,0.1041871349141108,0.007968010657264811
C1orf229,0.007967205530381105,0.10422213150150395,0.007967205530381105
SULT1C4,-0.007962810140320744,0.10441335133049182,0.007962810140320744
NME7,0.007962753325693938,0.10441582485274144,0.007962753325693938
AC110772.1,0.007959856380482229,0.10454201002561682,0.007959856380482229
CYYR1,-0.007956398400520972,0.10469279126210933,0.007956398400520972
AL451069.1,-0.007955810119620453,0.10471845975109954,0.007955810119620453
LINC01989,0.007955595215396318,0.10472783792346983,0.007955595215396318
CLCA2,0.007954742982379135,0.10476503495454328,0.007954742982379135
KIF15,-0.007952212872751744,0.10487552730670019,0.007952212872751744
TRAV8-3,-0.007951238019408986,0.10491812478225403,0.007951238019408986
LRFN1,0.007949239592510095,0.10500549156154765,0.007949239592510095
LINC01971,0.007948810351855642,0.10502426453982318,0.007948810351855642
LINC01389,0.007948247380242617,0.10504889032271256,0.007948247380242617
CDK18,0.007947537225323098,0.1050799608073157,0.007947537225323098
CD28,-0.007943044676908113,0.10527668648939531,0.007943044676908113
CDH22,0.007942385603629993,0.10530557143338622,0.007942385603629993
AC246817.2,0.007942358882897306,0.10530674264501286,0.007942358882897306
BLMH,-0.007939450728812858,0.10543427339379509,0.007939450728812858
AC123912.2,-0.00793921591256207,0.10544457609226345,0.00793921591256207
AC007405.1,0.007936482741204235,0.10556455432931502,0.007936482741204235
AC026401.1,0.007935637474432572,0.10560168098912998,0.007935637474432572
U47924.2,0.007933425877173285,0.1056988700032779,0.007933425877173285
AC009495.3,0.007933246825976795,0.10570674154194902,0.007933246825976795
UNC79,0.00793185742349413,0.10576783895706235,0.00793185742349413
AP003352.1,0.007929900285526212,0.10585394941653152,0.007929900285526212
AC110079.2,0.007928606905726414,0.10591088624936024,0.007928606905726414
AC138207.2,-0.007928169604785177,0.10593014249231067,0.007928169604785177
KRT23,-0.007927881333390913,0.10594283784116108,0.007927881333390913
AC091153.3,-0.007925752111469276,0.10603664523790203,0.007925752111469276
AL138962.1,0.007915966380097344,0.1064686237219924,0.007915966380097344
FAM227B,-0.007915793181127498,0.10647628191174431,0.007915793181127498
ZNF155,0.00791529875425602,0.1064981459614943,0.00791529875425602
AL365181.1,0.007914450765326401,0.10653565316410003,0.007914450765326401
IGLV2-5,0.007914261914062979,0.10654400762612228,0.007914261914062979
AL359504.2,0.007911443496508071,0.10666875138976978,0.007911443496508071
